	featureCounts on dataset 196 and 292: Counts	featureCounts on dataset 196 and 296: Counts	featureCounts on dataset 196 and 300: Counts	featureCounts on dataset 196 and 304: Counts	featureCounts on dataset 196 and 290: Counts	featureCounts on dataset 196 and 294: Counts	featureCounts on dataset 196 and 298: Counts	featureCounts on dataset 196 and 302: Counts
ENSG00000227321.2	0	1.93987196540768	0	0.990074666309442	0	0	0	0
ENSG00000234537.1	2.056070513555	1.93987196540768	2.3424819780342	0	0	0	0	0
ENSG00000290644.1	17.1339209462917	33.9477593946344	29.2810247254275	7.92059733047554	0	3.72164754679053	14.9966964894269	31.5414963177086
ENSG00000225511.8	0	0	0	0	0	0	0	0
ENSG00000236717.2	0	0	1.1712409890171	0.990074666309442	0.83664036710238	0	0	0
ENSG00000224809.2	0	0	0	0	0.83664036710238	0	2.99933929788538	0
ENSG00000276717.3	0	0	0	0	0	1.86082377339526	0	0
ENSG00000290645.1	0	0	0	0	0	0	0	0
ENSG00000236115.1	0	0	0	0	0	0	0	0
ENSG00000196305.19	1387.84759664963	1473.33275772713	1446.48262143612	1677.18648472819	2722.42775455114	2263.69212033534	3515.22565712167	2387.01538204373
ENSG00000281156.1	0	0	0	0	0	0	0	0
ENSG00000239183.1	0	0	0	0	0	0	0	0
ENSG00000198000.12	751.151094285428	753.640258560884	719.1419672565	818.791749037909	1024.04780933331	999.262366313257	962.787914621208	717.56904122787
ENSG00000188312.15	52.7724765145785	48.496799135192	32.7947476924788	63.3647786438043	97.8869229509784	120.953545270692	70.4844735003065	42.8063164311759
ENSG00000229530.1	0	0	0	0.990074666309442	0	0	0	0
ENSG00000106809.11	3458.31060379952	2344.33527019518	1449.99634440317	5179.08057946469	27.6091321143785	529.404363530953	631.360922204873	595.908984002423
ENSG00000127083.8	760.746090015352	609.119797138012	262.357981539831	1082.15161027622	179.041038559909	411.242053920353	416.908162406068	693.912918989588
ENSG00000106819.13	450.964799306398	616.879284999643	243.618125715557	775.228463720293	858.393016647042	769.450630298942	1103.75686162182	1350.65193160473
ENSG00000106823.13	1718.18959249413	1633.37219487327	1858.75944957014	2283.11218050957	568.915449629618	825.2753435008	565.375457651395	727.707379329991
ENSG00000264158.1	0	0	0	0	0	0	0	0
ENSG00000225551.1	0	0.969935982703841	0	0	0	0	0	0
